target_word,PoS,example_1,example_2,index1,index2,label
raise,V,Raise a mutiny .,Raise the roof .,0,0,F
fire,N,We sat around the fire singing songs and telling stories .,Barbecue over an open fire .,4,4,F
start,V,Start a new job .,I start my day with a good breakfast .,0,1,F
run,V,The sale will run for ten days .,The meeting ran late .,3,2,T
do,V,Do nothing .,A ' B ' grade does n't suffice to get me into medical school .,0,5,F
absence,N,He was surprised by the absence of any explanation .,Absence makes the heart grow fonder .,5,0,T
cut,V,Cut a check .,Cut the rope .,0,0,F
ream,V,Ream oranges .,The dentist reamed out the debris in the course of the root canal treatment .,0,2,F
run,V,Do n't run that software unless you have permission . ' .,Run rogue .,2,0,F
run,V,I will run the sample .,Our coach had us running plays for the whole practice .,2,4,T
keep,V,May God keep you .,The student was kept after school .,2,3,F
work,V,Work one 's way through the crowd .,She never worked because she inherited a lot of money .,0,2,F
draw,V,Draw water for a bath .,Draw parallels .,0,0,F
make,V,Clothes make the man .,He made to speak but said nothing in the end .,1,1,F
admit,V,We 'll have to vote on whether or not to admit a new member .,He admitted his guilt .,10,1,F
take,V,You ca n't take credit for this !,We took an apartment on a quiet street .,3,1,F
make,V,Make a mess in one 's office .,She 'll make a fine president .,0,2,F
stake,V,I will stake my good reputation for this .,Stake your goat .,2,0,F
make,V,He did n't make the choir after his voice changed .,You have to spend money to make money !,3,6,T
order,N,The machine is now in working order .,A friend in New Mexico said that the order caused no trouble out there .,6,8,F
work,V,The voting process does n't work as well as people thought .,This method does n't work .,5,4,T
stuff,N,There 's good stuff in that book .,The stuff of heros .,3,1,F
interception,N,He resorted to the interception of his daughter 's letters .,He claimed that the interception of one missile by another would be impossible .,4,4,T
raise,V,Raise a smile .,Raise your ` o ' .,0,0,F
place,N,If you were in my place what would you do ?,He has a special place in my thoughts .,5,4,F
take,V,Take steps .,Shall we take a guide in Rome ?,0,2,F
head,N,They say he gives good head .,The head of the list .,5,1,F
drug,V,You look like someone drug you behind a horse for half a mile .,They drugged the kidnapped tourist .,4,1,T
place,N,He overstepped his place .,He put the lamp back in its place .,3,7,F
raise,V,Raise the question of promotions .,Raise from the dead .,0,0,F
fall,V,Fall by the wayside .,Christmas falls on a Monday this year .,0,1,F
keep,V,Keep my job for me while I give birth .,Keep a diary .,0,0,F
defense,N,In defense he said the other man started it .,The artillery battered down the defenses .,1,5,F
take,V,We take all major credit cards .,Do you take sugar in your coffee ?,1,2,T
give,V,Give homage .,She gave herself to many men .,0,1,F
check,V,Check the brakes .,Check the oil in your car once a month .,0,0,T
restraint,N,The unlawful restraint of trade .,Restraints imposed on imports .,2,0,F
hold,V,He can hold his liquor .,"To carry well , i.e. to hold the head high , with arching neck .",2,6,F
visit,V,Did you ever visit Paris ?,The principal visited his rage on the students .,3,2,F
line,N,A nice line of shoes .,They were arrayed in line of battle .,2,4,F
make,V,What do you make of his remarks ?,Make a mistake .,3,0,F
break,V,Can you break a hundred-dollar bill for me ?,The wholesaler broke the container loads into palettes and boxes for local retailers .,2,2,T
point,N,Life has lost its point .,He broke the point of his pencil .,4,3,F
product,N,That store offers a variety of products .,That store offers a variety of products .,6,6,T
cover,V,The grant does n't cover my salary .,The President covered the fact that he bugged the offices in the White House .,4,2,F
run,V,Run a subject .,I 'm not ready to run a marathon .,0,5,F
accept,V,I can not accept your invitation .,We accept the idea of universal health care .,3,1,F
action,N,The piano had a very stiff action .,A rifle action .,6,2,T
contact,N,Contact with the pier scraped paint from the hull .,The pilot made contact with the base .,0,3,F
carry,V,Put down 5 and carry 2 .,I am carrying his child .,4,2,F
cut,V,Would you please cut the cake ?,Cut a hole .,3,0,F
gather,V,Gather some stones .,Herman gathered the students together .,0,1,T
admit,V,To admit a serious thought into the mind .,This pipe admits air .,1,2,T
side,N,It brought out his better side .,The Confederate side was prepared to attack .,5,2,F
draw,V,Draw a weapon .,A ship draws ten feet of water .,0,2,F
wall,N,A wall of prejudice .,The container 's walls were blue .,1,3,F
carry,V,The airwaves carry the sound .,Sound carries well over water .,2,1,T
carry,V,These bonds carry warrants .,The dog was taught to fetch and carry .,2,7,F
turn,V,Turn the corner .,We turned from Socialism to Capitalism .,0,1,F
carry,V,The dog was taught to fetch and carry .,Carry a cause .,7,0,F
radiate,V,Spokes radiate from the hub of the wheel .,The heat radiates from a stove .,1,2,F
choke,V,Choke a carburetor .,The pirate choked the sailor to death .,0,2,F
church,N,There is a lovely little church in the valley .,The church was empty .,5,1,T
take,V,Do you take me for a fool ?,I take it you 're not going ?,2,1,T
connect,V,"Operator , could you connect me to the Raffles in Singapore ?",These computers connected well .,4,2,F
give,V,The French doors give onto a terrace .,The wall gave in .,3,2,F
return,N,His gross income was enough that he had to file a tax return .,On his return from Australia we gave him a welcoming party .,12,2,F
action,N,He is out of action .,The piano had a very stiff action .,4,6,F
head,N,Tickets are $ 5 per head .,We will consider performance issues under the head of future improvements .,5,7,F
hand,N,"On the one hand ... , but on the other hand ...",All hands on deck .,3,1,F
spring,N,The emerging buds were a sure sign of spring .,"You can visit me in the spring , when the weather is bearable .",8,6,T
describe,V,"The feeling is difficult to describe , but not unpleasant .",He described what we should do .,5,1,T
know,V,Do you know my sister ?,I know him under a different name .,2,1,T
turn,V,Turn your face to the wall .,The people turned against the President when he stole the election .,0,2,F
world,N,He sailed around the world .,All the world loves a lover .,4,2,F
ride,V,I ride to work in a bus .,She rode a wave of popularity .,1,1,F
take,V,We take the Times every day .,Take action .,1,0,F
material,N,She was vice-presidential material .,He was university material .,3,3,T
work,V,This dough does not work easily .,Can you work an electric drill ?,4,2,F
come,V,Come into contact with a terrorist group .,Where did you come from ?,0,3,F
fire,V,"In warfare , whoever opens fire first has a greater chance of victory .",Surrender fires the cold skepticism .,5,1,F
cover,V,Cover the grave with flowers .,She covered herself with glory .,0,1,F
point,N,What is the point of discussing it ?,He stuck the point of the knife into a tree .,3,3,F
play,N,It was all done in play .,Rain stopped play in the 4th inning .,5,2,F
chance,N,You take a chance when you let her drive .,We had the chance to meet the president last week .,3,3,F
cup,N,He swore as the ball rimmed the cup and rolled away .,He drank a cup of coffee .,7,3,F
drop,N,A drop of each sample was analyzed .,They expected the drop would be successful .,1,3,F
focus,V,Please focus on your studies and not on your hobbies .,Focus on passing the test .,1,0,T
point,N,He broke the point of his pencil .,He stuck the point of the knife into a tree .,3,3,T
collision,N,The collision of the two ships resulted in a serious oil spill .,Three passengers were killed in the collision .,1,6,T
take,V,Do you take me for a fool ?,He was often taken to be a man of means .,2,3,T
plug,V,Plug the wall .,He attempted to plug the leaks with some caulk .,0,3,F
mean,V,The sky is red this morning — does that mean we 're in for a storm ?,My ex-husband means nothing to me .,9,2,F
washout,N,It was several days after the storm before they could repair the washout and open the road .,From the house they watched the washout of their newly seeded lawn by the water .,12,6,F
shell,V,Nuts shell in falling .,Wheat or rye shells in reaping .,1,3,T
make,V,Make lead into gold .,How much do you make a month in your new job ?,0,4,F
run,V,The crowd had to run away from the burning structure with only the clothes on their backs .,Who 's running for treasurer this year ?,4,2,F
leave,V,Leave the flowers that you see in the park behind .,The wound I got in my car accident left behind a massive scar .,0,8,T
thing,N,How could you do such a thing ?,He has a thing about seafood .,6,3,F
land,V,It can be tricky to land a helicopter .,Use the net to land the fish .,5,4,T
air,N,There was a tension in the air which made me suspect an approaching storm .,Open a window and let in some air .,6,7,T
make,V,Make a phone call .,They make a cute couple .,0,1,F
house,N,The house gets a percentage of every bet .,He has a house on Cape Cod .,1,3,F
custody,N,He was mistreated while in police custody .,The suspect is in custody .,6,4,F
respect,N,"He is an intellectual giant , and I have great respect for him .",Be sure to give my respects to the dean .,10,5,F
stain,V,People knew how to stain glass a beautiful blue in the middle ages .,Stain this table a beautiful walnut color .,4,0,T
run,V,The sale will run for ten days .,The book runs 655 pages .,3,2,T
strike,V,Please strike this remark from the record .,We must strike the enemy 's oil fields .,1,2,F
take,V,I used to take The Sunday Times .,You ca n't take credit for this !,3,3,F
continue,V,We can not continue several servants any longer .,The bad weather continued for two more weeks .,3,3,F
play,V,Play the stock market .,Play cards .,0,0,F
loaf,N,Sugar loaf .,A loaf of cheese .,1,1,T
carry,V,You must carry your camping gear .,Amanda carried the package .,2,1,T
sum,N,The sum of all our troubles did not equal the misery they suffered .,The sum of forty pounds .,1,1,F
see,V,He is blind -- he can not see .,I saw him laughing .,7,1,T
hit,V,The temperature could hit 110 F tomorrow .,The movie hits theaters in December .,3,2,T
cut,V,She cut the deck for a long time .,Soap cuts grease .,1,1,F
work,N,Mastering a second language requires a lot of work .,He arrived at work early today .,8,3,F
experience,N,He recalled the experience vividly .,It was an experience he would not soon forget .,3,3,T
take,V,I used to take The Sunday Times .,Take action .,3,0,F
focus,V,Please focus on your studies and not on your hobbies .,We focused on it .,1,1,T
thread,N,A thread of smoke climbed upward .,From the air the road was a grey thread .,1,8,T
cut,V,She cut the deck for a long time .,Cut a disk .,1,0,F
come,V,Come into contact with a terrorist group .,The shoes came untied .,0,2,T
coordinate,V,Coordinate his actions with that of his colleagues .,"Coordinate the painters , masons , and plumbers .",0,0,T
place,N,Your place or mine ?,If you were in my place what would you do ?,1,5,F
return,N,They set out on their return to the base camp .,I expect the house to be spotless upon my return .,5,9,T
law,N,There is a law against kidnapping .,"By law , one is not allowed to own a wallaby in New York City .",3,1,F
tumble,V,Wash in warm water and tumble dry .,They tumbled the teams with no apparent pattern .,5,1,F
stream,N,Stream of consciousness .,Two streams of development run through American history .,0,1,T
play,N,The play lasted two hours .,They made a futile play for power .,1,4,F
credit,N,I give you credit for owning up to your mistake .,"He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .",3,9,T
check,N,He paid all his bills by check .,He asked the waiter for the check .,6,6,F
drill,V,"Do n't drill here , there 's a gas pipe .",Drill a small hole to start the screw in the right direction .,2,0,T
recognition,N,Increasing recognition that diabetes frequently coexists with other chronic diseases .,A sudden recognition of the problem he faced .,1,2,T
remember,V,Can you remember her phone number ?,"I remember the concert clearly , but I ca n't recollect why I was there .",2,1,T
room,N,Room to pass .,There was n't that much elbow room in the aircraft .,0,6,T
microprocessor,N,A disk drive contains a microprocessor to handle the internal functions of the drive .,A microprocessor functions as the central processing unit of a microcomputer .,5,1,T
piece,N,It was a nice piece of work .,He needed a piece of granite .,4,3,F
move,V,To move in a matter .,She moved the queen closer to the centre of the board .,1,1,F
position,N,Chief of Staff is the second-highest position in the army .,Atheists do not enjoy a favorable position in American life .,6,6,T
see,V,Let 's see -- which movie should we see tonight ?,How nice to see you again !,2,3,F
head,N,His horse won by a head .,He is two heads taller than his little sister .,5,3,T
make,V,To make like a deer caught in the headlights .,"He made as if to punch him , but they both laughed and shook hands .",1,1,T
reduce,V,Reduce an image .,Reduce one 's standard of living .,0,0,F
work,V,He could not work the math problem .,This unpleasant situation is n't going to work itself out .,3,7,T
take,V,Take an opportunity .,The escaped convict took to the hills .,0,3,F
pack,V,You had better pack your swollen ankle with ice .,Pack the faucet .,3,0,F
integrity,N,They admired his scrupulous professional integrity .,He expects to find in us the common honesty and integrity of men of business .,5,10,T
part,N,He wanted to feel a part of something bigger than himself .,The rear part of the house .,5,2,F
edge,N,His voice had an edge to it .,She sat on the edge of the bed .,4,4,F
take,V,I take aspirin every day to thin my blood .,Hitler took the Baltic Republics .,1,1,F
take,V,Tomorrow the doctor will take the cast off her arm .,Take the gun from your pocket .,4,0,T
create,V,You can create the color orange by mixing yellow and red .,The company was created 25 years ago .,2,3,T
be,V,I may be an hour .,When will the meeting be ?,2,4,F
touch,N,The cooling touch of the night air .,This piano has a wonderful touch .,2,5,F
bum,N,That mechanic 's a bum - he could n't fix a yo-yo .,A lazy bum .,4,2,T
pull,V,Pull one 's horse to a stand .,Pull the ball .,0,0,F
catch,V,Did you catch a cold ?,The fashion did not catch .,2,4,F
see,V,We had to see a psychiatrist .,He saw action in Viet Nam .,3,1,F
make,V,Make advances .,She 'll make a fine president .,0,2,F
realization,N,A growing realization of the risk involved .,The victory was the realization of a whole year 's work .,2,4,F
know,V,It is vital that he not know .,She knew of our plan .,6,1,T
head,N,He stuck his head out the window .,They tracked him back toward the head of the stream .,3,6,F
touch,N,He longed for the touch of her hand .,This room needs a woman 's touch .,4,6,F
fail,V,Where do today 's public schools fail ?,The attempt to rescue the hostages failed miserably .,6,6,T
stick,V,Stick the corner of the sheet under the mattress .,The friends stuck together through the war .,0,2,F
occupy,V,The young prince will soon occupy the throne .,He occupies two rooms on the top floor .,5,1,F
range,V,My students range from very bright to dull .,The instruments ranged from tuba to cymbals .,2,2,T
go,V,It 's your turn ; go .,"The gun went "" bang "" .",5,2,F
practice,N,The practice of the law .,I took over his practice when he retired .,1,4,T
dress,V,Dress the windows .,Marlene dressed herself .,0,1,F
meeting,N,They came together in a chance meeting on the way home from work .,Next year the meeting will be in Chicago .,6,3,T
fill,N,Do n't feed him any more : he 's had his fill .,She had heard her fill of gossip .,11,4,T
polish,V,Polish your social manners .,He polished up the chrome until it gleamed .,0,1,F
style,N,A cartilaginous style .,The anal styles of insects .,2,2,T
treat,V,I like to treat myself to a day at a spa when I am depressed .,Grandmother always treated us to the circus .,3,2,T
go,V,These luxuries all had to go under the Khmer Rouge .,This chair has got to go .,5,5,T
return,V,Return to your native land .,The professor returned to his teaching position after serving as Dean .,0,2,T
give,V,Give thought to .,I gave two sons to the war .,0,1,F
school,N,He did n't miss a single day of school .,He walked to school every morning .,8,3,F
day,N,After that day she never trusted him again .,I 've been here for 2 days and a bit .,2,6,T
strike,V,Strike ` z ' on the keyboard .,The horse finally struck a pace .,0,3,F
make,V,Make a cake .,He made twenty bucks playing poker last night .,0,1,F
break,V,Break a branch from a tree .,The business partners broke over a tax question .,0,3,F
academy,N,The Academy of Music .,The American Academy of Arts and Sciences .,1,2,F
head,N,I 've got to go to the head .,This song keeps going through my head .,7,6,F
keep,V,Keep appointments .,We kept to the original conditions of the contract .,0,1,T
ground,N,They fought to regain the lost ground .,The worm crawls through the ground .,6,5,F
spread,N,They put out quite a spread .,The spread between lending and borrowing costs .,5,1,F
lob,V,Lob the tennis ball .,The guard lobbed a pass just over the defender .,0,2,T
draw,V,Draw a conclusion .,The doctors drew medical supplies from the hospital 's emergency bank .,0,2,F
fall,V,The hills around here fall towards the ocean .,His eyes fell .,4,2,F
business,N,We do business all over the world .,He bought his brother 's business .,2,5,F
buildup,N,I envied his rapid buildup of assets .,A military buildup in preparation for the invasion .,4,2,T
object,N,The sole object of her trip was to see her children .,The object of the verb .,2,1,F
catch,V,Catch one 's breath .,Catch some sleep .,0,0,T
order,N,It was on the order of a mile .,Law and order .,4,2,F
replace,V,The insurance will replace the lost income .,He replaced the old razor blade .,3,1,T
breath,N,His sour breath offended her .,The child 's breath came quickly and unevenly .,2,3,F
break,V,Break the code .,Break a branch from a tree .,0,0,F
run,V,The horse will run the Preakness next year .,I 'm not ready to run a marathon .,3,5,T
hand,N,His hand was illegible .,A good hand .,1,2,T
shock,N,He had an unruly shock of black hair .,The train hit the buffers with a great shock .,4,8,F
piece,N,He 's packin ' a piece !,He needed a piece of granite .,5,3,F
coordinate,V,Coordinate our efforts .,Coordinate his actions with that of his colleagues .,0,0,T
assume,V,Mr. Jones will assume the position of a lifeguard until a proper replacement is found .,The queen assumed the stately robes .,3,2,F
shock,N,Subjects received a small electric shock when they made the wrong response .,It came as a shock to learn that he was injured .,5,4,F
end,N,The end of the year .,One end of the box was marked ` This side up ' .,1,1,F
quality,N,This school is well-known for having teachers of high quality .,"Quality of life is usually determined by health , education , and income .",9,0,T
cast,V,Who cast this beautiful movie ?,Cast a vote .,1,0,F
get,V,We 'll get them !,She did n't get the joke .,2,3,F
hold,V,To hold true .,Hold that position behind the trees !,1,0,F
pay,V,Crime does n't pay .,It pays to go through the trouble .,3,1,T
smile,N,She had a smile on her face .,He always puts a smile on my face .,3,4,T
age,N,It 's been an age since we last saw you .,It was replaced because of its age .,4,6,T
glimpse,N,From the window he could catch a glimpse of the lake .,"I only got a glimpse of the car , so I can tell you the colour but not the registration number .",7,4,F
open,V,Open a business .,The door opened .,0,2,F
product,N,That store offers a variety of products .,The product of 2 and 3 is 6 .,6,1,F
change,N,She brought a change in her overnight bag .,The product is undergoing a change in order to improve it .,3,5,F
lie,V,Do n't lie to your parents .,The snow lies on the roof . ,2,2,F
demand,V,I demand an explanation .,This position demands a lot of personal sacrifice .,1,2,F
art,N,He said that architecture is the art of wasting space beautifully .,How great thou art !,6,3,F
line,N,A dedicated line .,The letter consisted of three short lines .,2,6,F
check,V,Please check each name on the list .,She checked for an instant and missed a step .,1,1,F
lead,N,A good lead for a job .,They did n't follow our lead .,2,5,F
get,V,The operator could n't get Kobe because of the earthquake .,What did you get at the toy store ?,4,3,F
roll,V,Roll your hair around your finger .,The thunder rolled .,0,2,F
invitation,N,She threw the invitation away .,She was an invitation to trouble .,3,3,F
figure,N,He cut a fine figure .,He cut a sorry figure standing there in the rain .,4,4,T
go,V,This violinist is as good as Juilliard-trained violinists go .,It 's your turn ; go .,8,5,F
chromosome,N,Humans have 22 chromosome pairs plus two sex chromosomes .,There have been documented cases of morphologically male transgenders having XX chromosomes .,3,11,T
action,N,The Union action of emancipating Southern slaves .,Recent federal action undermined the segregationist position .,2,2,T
drift,V,Drift the cattle herds westwards .,The balloon was drifting in the breeze .,0,3,F
work,V,This old radio does n't work anymore .,This pilot works the controls .,5,2,F
coverage,N,The enemy fire is increasing – can we get some immediate coverage from those bunkers ?,There are overlapping coverages on your insurance policies .,11,3,T
raise,V,Raise Cain .,Raise the roof .,0,0,T
lift,V,Lift an embargo .,Lift potatoes .,0,0,F
chain,N,The third link of the silver chain needs to be resoldered .,The chain of command .,6,1,T
number,N,The number of parameters is small .,He had a number of chores to do .,1,3,T
know,V,I know that I left the key on the table .,Galileo knew that the earth moves around the sun .,1,1,T
crash,V,Let 's crash the party !,The economy crashed .,2,2,F
one,N,This is the one I ordered .,He is the best one .,3,4,T
distance,N,If that happens it will be at some distance in the future .,At a distance of ten years he had forgotten many of the details .,8,2,T
rub,V,Rub oil into her skin .,The cat rubbed itself against my leg .,0,2,T
draw,V,Draw a conclusion .,I draw a line here .,0,1,T
dress,V,We had to dress quickly .,Marlene dressed the baby .,3,1,T
quality,N,The quality of students has risen .,"Quality of life is usually determined by health , education , and income .",1,0,T
patch,N,A cabbage patch .,Does n't that patch of clouds looks like a bunny ?,2,3,F
swing,V,The soccer player began to swing at the referee .,This action swung many votes over to his side .,5,2,F
gather,V,Gather some stones .,"If you want to emphasise the shape , it is possible to gather the waistline .",0,12,F
narrowness,N,The attraction of the book is precisely its narrowness of focus .,Frustrated by the narrowness of people 's horizons .,8,3,T
number,N,In English the subject and the verb must agree in number .,I hope to become one of their number before I die .,10,7,F
pay,V,You 'll pay for this !,You 'll pay for this opinion later .,2,2,T
rub,V,Rub my hands .,Rub oil into her skin .,0,0,T
run,N,The defensive line braced to stop the run .,The team enjoyed a brief run of victories .,7,5,F
touch,V,"Can he reach ? "" "" The chair must not touch the wall .",Their hands touched .,10,2,F
advance,V,Can you advance me some money ?,To advance one 's interests .,2,1,F
